Name,Expression,Notes,Group
# === BURDEN PARAMETERS (mutually-exclusive sum across NMC + NHLS + PIH) ===,,,
n_nmc_annual,1013,"Annual NMC pesticide notifications, 2023 | dist=fixed(,) | NICD NMC Annual Report 2023",burden.counts
n_nhls_severe_annual,1779,"Annual NHLS severe BChE inhibitions (<50% normal), 2023 | dist=fixed(,) | NHLS LIS 2023",burden.counts
n_nhls_total_annual,10626,"Annual NHLS BChE tests performed (all severities), 2023 — denominator for S3a auto-notify | dist=fixed(,) | NHLS LIS 2023",burden.counts
n_pih_annual,1158,"Annual PIH clinician-initiated pesticide calls, 2023 (clinical contacts only; total helpline volume is higher) | dist=fixed(,) | PIH 2023 annual data",burden.counts
n_burden_true,3950,"Observed annual cases = NMC + NHLS-severe + PIH-clinician (2023 volumes, mutually exclusive assumption) = 1013+1779+1158 | dist=fixed(,) | Sum of three streams 2023",burden.counts
p_burden_overlap_correction,0.30,"Plausible overstatement from undeduplicated overlap (sensitivity) | dist=beta(30,70) | Conservative cap",burden.counts
# === CASE FATALITY RATE — STRATIFIED BY SEVERITY ===,,,
cfr_pih_mild,0.005,"PIH-call-only cases (mostly mild/moderate, often no admission) | dist=beta(5,995) | Estimated; PIH manages many at home",burden.cfr
cfr_nhls_severe,0.30,"Severe BChE inhibition hospitalised cases | dist=beta(30,70) | Buckley 2021 Sri Lanka cohort",burden.cfr
cfr_nmc_hospitalised,0.15,"NMC-notified (clinically significant, hospitalised) | dist=beta(15,85) | Free State 2018-19 + NMC observed",burden.cfr
cfr_blended_observed,0.175,"Implied blended CFR from stratified weights = (1158*0.005 + 1779*0.30 + 1013*0.15)/3950 | dist=fixed(,) | Derived",burden.cfr
cfr_headline_lo,0.10,"Headline lower bound for sensitivity (NMC observed range) | dist=fixed(,) | Decision model base",burden.cfr
cfr_headline_mid,0.125,"Headline midpoint | dist=fixed(,) | Decision model base",burden.cfr
cfr_headline_hi,0.15,"Headline upper bound | dist=fixed(,) | Decision model base",burden.cfr
# Note: stratified CFR yields ~830 deaths/yr; flat 12.5% yields ~1460. StatsSA MACOD anchor (n_deaths_statssa_macod) is the canonical truth source for deaths and should be updated as new StatsSA releases land.,,,
n_deaths_stratified,830,"Deaths from stratified CFR application | dist=fixed(,) | Internal consistency check",burden.deaths
n_deaths_headline,2620,"Headline annual deaths = n_deaths_statssa_macod (canonical truth, replaces v1 advocacy figure of 1500) | dist=fixed(,) | StatsSA MACOD 2023 (X40-X49)",burden.deaths
# === StatsSA MORTALITY ANCHOR (CANONICAL TRUTH SOURCE for deaths; used to derive d_status_quo and implied true burden) ===,,,
n_deaths_statssa_macod,2620,"StatsSA MACOD pesticide-poisoning deaths per year. CANONICAL truth source — update as new StatsSA releases land. Current = StatsSA Causes of Death 2023, Table 4.12 (Accidental poisoning by and exposure to noxious substance, X40-X49). | dist=gamma(25,105) | StatsSA Causes of Death 2023, Table 4.12",burden.statssa_anchor
n_true_burden_from_statssa_lo,17467,"Implied true annual burden, upper-CFR scenario = n_deaths_statssa_macod / cfr_headline_hi = 2620/0.15 | dist=fixed(,) | Derived",burden.statssa_anchor
n_true_burden_from_statssa_mid,20960,"Implied true annual burden, mid-CFR scenario = n_deaths_statssa_macod / cfr_headline_mid = 2620/0.125 | dist=fixed(,) | Derived",burden.statssa_anchor
n_true_burden_from_statssa_hi,26200,"Implied true annual burden, lower-CFR scenario = n_deaths_statssa_macod / cfr_headline_lo = 2620/0.10 | dist=fixed(,) | Derived",burden.statssa_anchor
# === PER-CASE COSTS (CASE-MIX-WEIGHTED,ZAR 2025) ===,",",
c_pih_call_only,500,"Per-case cost for PIH-managed cases (helpline call + brief OPD + caregiver time) | dist=gamma(25,20) | PIH operational + Stats SA wage",burden.per_case_costs
