Name,Expression,Notes
n_hotspots_baseline,10,"Annual actionable hotspots | dist=fixed(,) | Replace with estimate"
p_sq_hotspot_detected,0.20,"Status quo detection probability | dist=beta(20,80) | Placeholder"
p_sq_response_triggered,0.50,"Status quo response probability | dist=beta(50,50) | Placeholder"
p_poc_data_access,0.70,"POC data access | dist=beta(70,30) | Placeholder"
p_poc_data_usable,0.65,"POC data usable | dist=beta(65,35) | Placeholder"
p_poc_hotspot_detected,0.60,"POC hotspot detection | dist=beta(60,40) | Placeholder"
p_poc_response_triggered,0.65,"POC response probability | dist=beta(65,35) | Placeholder"
p_ehp_adoption,0.75,"EHP adoption probability | dist=beta(75,25) | Placeholder"
p_ehp_reporting_completeness,0.60,"EHP completeness probability | dist=beta(60,40) | Placeholder"
p_ehp_hotspot_detected,0.50,"EHP hotspot detection | dist=beta(50,50) | Placeholder"
p_ehp_response_triggered,0.70,"EHP response probability | dist=beta(70,30) | Placeholder"
p_pkg_implemented,0.65,"Package implementation probability | dist=beta(65,35) | Placeholder"
p_pkg_surveillance_improved,0.75,"Package improves surveillance | dist=beta(75,25) | Placeholder"
p_pkg_hotspot_detected,0.75,"Package hotspot detection | dist=beta(75,25) | Placeholder"
p_pkg_response_triggered,0.75,"Package response probability | dist=beta(75,25) | Placeholder"
c_sq_program,50000,"Status quo annual cost | dist=gamma(25,2000) | Placeholder"
c_poc_setup,120000,"POC setup cost | dist=gamma(25,4800) | Placeholder"
c_poc_operating,70000,"POC annual operating cost | dist=gamma(25,2800) | Placeholder"
c_ehp_setup,80000,"EHP setup cost | dist=gamma(25,3200) | Placeholder"
c_ehp_operating,60000,"EHP annual cost | dist=gamma(25,2400) | Placeholder"
c_pkg_setup,180000,"Package setup cost | dist=gamma(25,7200) | Placeholder"
c_pkg_operating,100000,"Package annual cost | dist=gamma(25,4000) | Placeholder"
c_response_per_hotspot,15000,"Response cost per hotspot | dist=gamma(25,600) | Placeholder"
