Name,Expression,Notes
n_hotspots_baseline,10,"Annual actionable hotspots | dist=fixed(,) | Replace with estimate"
n_poisoning_cases_annual,690,"Annual NMC notifications avg 2020-2024 | dist=fixed(,) | From epi paper"
n_bche_severe_annual,2000,"Severe BChE inhibitions per year | dist=fixed(,) | From NHLS data"
cases_per_hotspot,69,"Avg poisoning cases per hotspot (690/10) | dist=fixed(,) | Derived"
dalys_per_case,2.5,"DALYs per poisoning case | dist=gamma(25,0.1) | Placeholder"
p_sq_hotspot_detected,0.20,"Status quo detection probability | dist=beta(20,80) | Placeholder"
p_sq_response_triggered,0.50,"Status quo response probability | dist=beta(50,50) | Placeholder"
p_poc_data_access,0.70,"POC data access via SOP/MoU | dist=beta(70,30) | Placeholder"
p_poc_data_usable,0.65,"POC extracted data is usable | dist=beta(65,35) | Placeholder"
p_poc_hotspot_detected,0.60,"POC hotspot detection from integrated data | dist=beta(60,40) | Placeholder"
p_poc_response_triggered,0.65,"POC response triggered given detection | dist=beta(65,35) | Placeholder"
p_ehp_adoption,0.75,"EHP template adopted by districts | dist=beta(75,25) | Placeholder"
p_ehp_reporting_completeness,0.60,"EHP reports fed back completely | dist=beta(60,40) | Placeholder"
p_ehp_hotspot_detected,0.50,"EHP-based hotspot detection | dist=beta(50,50) | Placeholder"
p_ehp_response_triggered,0.70,"EHP response triggered given detection | dist=beta(70,30) | Placeholder"
p_xwalk_completed,0.90,"Crosswalk technical exercise completed | dist=beta(90,10) | High feasibility"
p_xwalk_adopted,0.80,"Crosswalk rules adopted by NHLS/NMC | dist=beta(80,20) | Placeholder"
p_xwalk_hotspot_detected,0.45,"Crosswalk alone improves detection | dist=beta(45,55) | Modest standalone"
p_xwalk_response_triggered,0.55,"Response triggered under crosswalk only | dist=beta(55,45) | Placeholder"
p_act_awareness_raised,0.85,"MAC activates awareness successfully | dist=beta(85,15) | High feasibility"
p_act_data_used,0.50,"D2P outputs actually used by decision-makers | dist=beta(50,50) | Placeholder"
p_act_hotspot_detected,0.35,"Activation alone improves detection | dist=beta(35,65) | Weakest standalone"
p_act_response_triggered,0.60,"Response triggered under activation only | dist=beta(60,40) | Placeholder"
p_pkg_implemented,0.65,"Full package implementation probability | dist=beta(65,35) | Placeholder"
p_pkg_surveillance_improved,0.75,"Full package improves surveillance | dist=beta(75,25) | Placeholder"
p_pkg_hotspot_detected,0.75,"Full package hotspot detection | dist=beta(75,25) | Placeholder"
p_pkg_response_triggered,0.75,"Full package response probability | dist=beta(75,25) | Placeholder"
c_sq_program,50000,"Status quo annual cost | dist=gamma(25,2000) | Placeholder"
c_poc_setup,120000,"POC setup: SOP development data mapping analyst time | dist=gamma(25,4800) | Placeholder"
c_poc_operating,70000,"POC annual: analyst time routine extracts reports | dist=gamma(25,2800) | Placeholder"
c_ehp_setup,80000,"EHP setup: template design training rollout | dist=gamma(25,3200) | Placeholder"
c_ehp_operating,60000,"EHP annual: template management quality assurance | dist=gamma(25,2400) | Placeholder"
c_xwalk_setup,40000,"Crosswalk setup: 2-day technical working group | dist=gamma(25,1600) | Low cost"
c_xwalk_operating,15000,"Crosswalk annual: maintenance and updates | dist=gamma(25,600) | Low cost"
c_act_setup,25000,"Activation setup: MAC meeting preparation D2P design | dist=gamma(25,1000) | Low cost"
c_act_operating,20000,"Activation annual: ongoing communication materials | dist=gamma(25,800) | Low cost"
c_pkg_setup,180000,"Full package setup (all 4 options combined) | dist=gamma(25,7200) | Placeholder"
c_pkg_operating,100000,"Full package annual operating | dist=gamma(25,4000) | Placeholder"
c_response_per_hotspot,15000,"Response cost per hotspot: investigation EHP deployment | dist=gamma(25,600) | Placeholder"
c_admission_per_case,5000,"Hospital admission cost per poisoning case | dist=gamma(25,200) | Placeholder"
c_icu_per_case,25000,"ICU cost per severe poisoning case | dist=gamma(25,1000) | Placeholder"
p_icu_admission,0.15,"Proportion of cases requiring ICU | dist=beta(15,85) | Placeholder"
p_case_fatality,0.03,"Case fatality rate for hospitalised poisonings | dist=beta(3,97) | From literature"
yld_per_survivor,1.5,"Years lived with disability per non-fatal case | dist=gamma(15,0.1) | Placeholder"
yll_per_death,35,"Years of life lost per death (young population) | dist=gamma(25,1.4) | Placeholder"
