Name,Expression,Notes
# === BURDEN PARAMETERS (mutually-exclusive sum across NMC + NHLS + PIH) ===,,
n_nmc_annual,690,"Annual NMC pesticide notifications, 2020-2024 mean | dist=fixed(,) | NICD NMC Annual Reports"n_nhls_severe_annual,2000,"Annual NHLS severe BChE inhibitions (<50% normal) | dist=fixed(,) | NHLS LIS data 2020-2024"
n_pih_annual,9000,"Annual PIH pesticide-related calls | dist=fixed(,) | Red Cross PIH 2019 + linear extrapolation"
n_burden_true,11690,"True annual burden = NMC + NHLS + PIH (mutually exclusive assumption) | dist=fixed(,) | Sum of three streams"
p_burden_overlap_correction,0.30,"Plausible overstatement from undeduplicated overlap (sensitivity) | dist=beta(30,70) | Conservative cap"
# === CASE FATALITY RATE — STRATIFIED BY SEVERITY ===,,
cfr_pih_mild,0.005,"PIH-call-only cases (mostly mild/moderate, often no admission) | dist=beta(5,995) | Estimated; PIH manages many at home"
cfr_nhls_severe,0.30,"Severe BChE inhibition hospitalised cases | dist=beta(30,70) | Buckley 2021 Sri Lanka cohort"
cfr_nmc_hospitalised,0.15,"NMC-notified (clinically significant, hospitalised) | dist=beta(15,85) | Free State 2018-19 + NMC observed"
cfr_blended_observed,0.07,"Implied blended CFR from stratified weights = (9000*0.005 + 2000*0.30 + 690*0.15)/11690 | dist=fixed(,) | Derived"
cfr_headline_lo,0.10,"Headline lower bound for sensitivity (NMC observed range) | dist=fixed(,) | Decision model base"
cfr_headline_mid,0.125,"Headline midpoint | dist=fixed(,) | Decision model base"
cfr_headline_hi,0.15,"Headline upper bound | dist=fixed(,) | Decision model base"
# Note: stratified CFR yields ~830 deaths/yr; flat 12.5% yields ~1460. StatsSA MACOD anchor (n_deaths_statssa_macod) is the canonical truth source for deaths and should be updated as new StatsSA releases land.,,
n_deaths_stratified,830,"Deaths from stratified CFR application | dist=fixed(,) | Internal consistency check"
n_deaths_headline,2000,"Headline annual deaths = n_deaths_statssa_macod (canonical truth, replaces v1 advocacy figure of 1500) | dist=fixed(,) | StatsSA MACOD"
# === StatsSA MORTALITY ANCHOR (CANONICAL TRUTH SOURCE for deaths; used to derive d_status_quo and implied true burden) ===,,
n_deaths_statssa_macod,2000,"StatsSA MACOD pesticide-poisoning deaths per year (mean recent series). CANONICAL truth source — update as new StatsSA releases land. | dist=gamma(25,80) | StatsSA Causes of Death"
n_true_burden_from_statssa_lo,13333,"Implied true annual burden, upper-CFR scenario = n_deaths_statssa_macod / cfr_headline_hi = 2000/0.15 | dist=fixed(,) | Derived"
n_true_burden_from_statssa_mid,16000,"Implied true annual burden, mid-CFR scenario = n_deaths_statssa_macod / cfr_headline_mid = 2000/0.125 | dist=fixed(,) | Derived"
n_true_burden_from_statssa_hi,20000,"Implied true annual burden, lower-CFR scenario = n_deaths_statssa_macod / cfr_headline_lo = 2000/0.10 | dist=fixed(,) | Derived"
# === PER-CASE COSTS (CASE-MIX-WEIGHTED, ZAR 2025) ===,,
c_pih_call_only,500,"Per-case cost for PIH-managed cases (helpline call + brief OPD + caregiver time) | dist=gamma(25,20) | PIH operational + Stats SA wage"
c_ward_admission_per_day,1800,"Public-sector general ward UPFS day fee | dist=gamma(25,72) | UPFS 2024"
c_highcare_per_day,5500,"Public-sector high-care UPFS day fee | dist=gamma(25,220) | UPFS 2024"
c_icu_per_day,13500,"Public-sector ICU UPFS day fee | dist=gamma(25,540) | UPFS 2024"
c_ventilation_surcharge_per_day,4000,"Mechanical ventilation surcharge per day | dist=gamma(25,160) | UPFS 2024"
c_atropine_full_course,1500,"Full atropine course for OP poisoning (high-dose protocol, 2-5 days) | dist=gamma(25,60) | EML pricing"
c_pralidoxime_course,4500,"PAM course (3-5 days at therapeutic dose) | dist=gamma(25,180) | EML pricing"
los_ward_median_days,3,"Median ward LoS for moderate poisoning admission | dist=fixed(,) | Free State 2018-19 + Buckley 2021"
los_icu_median_days,5,"Median ICU LoS for severe poisoning requiring intensive care | dist=fixed(,) | Buckley 2021"
p_icu_among_severe,0.30,"Proportion of severe (NMC-notified) cases requiring ICU | dist=beta(30,70) | Estimated SA tertiary mix"
p_ventilation_among_icu,0.60,"Proportion of ICU pesticide cases requiring mechanical ventilation | dist=beta(60,40) | Buckley 2021"
c_morbidity_mild_PIH,500,"Per-case morbidity cost for PIH-only stratum | dist=fixed(,) | = c_pih_call_only"
c_morbidity_moderate_NHLS,15000,"Per-case morbidity cost for NHLS ward-admitted (3 days * R1,800 + investigations + R7k OOP/lost wages) | dist=gamma(25,600) | UPFS + Stats SA"
c_morbidity_severe_NMC,80000,"Per-case morbidity cost for NMC-notified severe (mix of ward + ICU + interventions) | dist=gamma(25,3200) | Weighted: 70%*R20k_ward + 30%*R220k_ICU"
c_morbidity_blended,7700,"Case-mix-weighted blended morbidity cost = (9000*500 + 2000*15000 + 690*80000)/11690 | dist=fixed(,) | Derived"
c_morbidity_headline,12000,"Headline blended morbidity used in burden model (round number; sensitivity R6k-R25k) | dist=gamma(25,480) | Decision model"
# === MORTALITY COST (HUMAN-CAPITAL APPROACH) ===,,
yll_per_death,30,"Years of life lost per pesticide death (median age 30, e64 SA life table) | dist=gamma(30,1) | StatsSA + VR analysis"
median_annual_income_zar,60000,"SA median annual income (StatsSA Quarterly Labour Force Survey 2024) | dist=gamma(25,2400) | StatsSA"
productive_years_lost,25,"Productive YLL per death (15-65 working life truncated at median age 30) | dist=fixed(,) | Human-capital convention"
c_mortality_human_capital,1500000,"Per-death cost: 25 productive yr * R60k income | dist=gamma(25,60000) | Human-capital approach"
c_mortality_DALY_threshold,1155000,"Alternative: 30 YLL * R38,500/DALY (Edoka & Stacey 2020) | dist=fixed(,) | Cost-eff threshold approach"
c_mortality_VSL_lower,5000000,"Alternative: VSL lower (3.3x annual income, OECD-derived for LMIC) | dist=fixed(,) | Robinson et al."
# === TOTAL ECONOMIC BURDEN ===,,
C_burden_morbidity,90000000,"Annual morbidity cost = sum(c_morbidity_stratum * n_stratum) ~ R90M | dist=fixed(,) | Derived"
C_burden_mortality_stratified,1245000000,"Mortality cost using stratified CFR (830 deaths * R1.5M) ~ R1.25B | dist=fixed(,) | Conservative"
C_burden_mortality_headline,2250000000,"Mortality cost using headline 1,500 deaths * R1.5M = R2.25B | dist=fixed(,) | Headline"
C_burden_total_conservative,1335000000,"Conservative total ~ R1.34B/year (stratified CFR) | dist=fixed(,) | Lower bound for advocacy"
C_burden_total_headline,2340000000,"Headline total ~ R2.3B/year | dist=fixed(,) | Used in all advocacy products"
# === STAKEHOLDER SHARES OF ANNUAL BURDEN (ZAR 2025, headline scenario) — who bears the R2.34B ===,,
share_doh_morbidity,70000000,"NDoH (public hospitals): UPFS ward + ICU + ventilation + atropine/PAM + repeat care | dist=fixed(,) | Derived from C_burden_morbidity × hospital-care fraction (~78%)"
share_nhls_morbidity,10000000,"NHLS (laboratory): BChE + LFT + U&E + GC-MS confirmatory volume | dist=fixed(,) | Derived from C_burden_morbidity × lab fraction (~11%)"
share_individual_oop_morbidity,10000000,"Individuals / households out-of-pocket: transport, lost wages during admission, caregiver time | dist=fixed(,) | Derived from C_burden_morbidity × OOP fraction (~11%)"
share_dalrrd_burden,0,"DALRRD (regulator): R0 of burden side by construction — DALRRD cost sits on the intervention side (enforcement, recalls) | dist=fixed(,) | By construction"
share_household_mortality,2250000000,"Households / wider society: lost lifetime earnings (1500 deaths × R1.5M human-capital) | dist=fixed(,) | = C_burden_mortality_headline"
share_health_system_total,80000000,"Health-sector subtotal (NDoH + NHLS) — the budget-line burden | dist=fixed(,) | = share_doh_morbidity + share_nhls_morbidity"
share_household_total,2260000000,"Household + society subtotal (OOP + lost lifetime earnings) | dist=fixed(,) | = share_individual_oop_morbidity + share_household_mortality"
share_total_check,2340000000,"Sum check vs C_burden_total_headline | dist=fixed(,) | Internal consistency"
# === RESPONSE EFFICACY ===,,
eta_response_lo,0.15,"Response efficacy lower (low-engagement scenario) | dist=fixed(,) | Sensitivity"
eta_response_mid,0.30,"Response efficacy base case | dist=beta(30,70) | Buckley source-control literature"
eta_response_hi,0.50,"Response efficacy upper (well-resourced scenario) | dist=fixed(,) | Sensitivity"
# === DETECTION PROBABILITIES BY OPTION ===,,
# === HOTSPOT-DETECTION FRAMING (legacy, expert-elicited cluster sensitivity) — kept for back-compat with v1 analysis_report ===,,
d_status_quo,0.043,"NMC-only per-case detection probability = n_nmc_annual * cfr_headline_mid / n_deaths_statssa_macod = 690*0.125/2000 | dist=beta(4,96) | Derived from StatsSA MACOD anchor (replaces v1 expert-elicited 0.45)"
d_status_quo_lo,0.0345,"d_status_quo lower bound (upper-CFR scenario = 690*0.10/2000 inverted) | dist=fixed(,) | Derived"
d_status_quo_hi,0.0518,"d_status_quo upper bound = 690*0.15/2000 | dist=fixed(,) | Derived"
